"Id";"serie_editie";"serie";"serietekst";"nr";"titel";"auteurs";"editie";"jaar metingen";"jaar van uitgave";"linksonder";"rechtsonder";"uitgever";"Drukker";"schaal";"Stempel TIArchief";"StempelTIKaartenarchief";"StempelBiblPontonniers";"StempelKVGIVU";"StempelKaartenzaal";"Stempel";"opmerkingen";"Fyskenm";"provenance";"aanwezig in ub"
52;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"03";"Huussen";;;"1911-1913";1915,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;;;;"Ja"
53;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"03";"Doesburg";;;;1888,00;;;;;"Schaal 1:10.000";;;;;;;;;;
54;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"03";"Zwartsluis";;;;1908,00;;;;;"Schaal 1:10.000";;;;;;;;;;
55;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"03";"Itteren ";;"Derde uitgave";;1939,00;;;;;"Schaal 1:10.000";;;;;;;;;;
56;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"03";"Doesburg";;;"1843";1843,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
57;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"03";"Reckheim";;;"1847";1847,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
58;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"03";"Doesburg (Noord)";;;;1927,00;;;;;"Schaal 1:10.000";;;;;;;;;;
59;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"03";"Doesburg (Zuid)";;;;1927,00;;;;;"Schaal 1:10.000";;;;;;;;;;
60;"EERSTE DRUK";"5";"Kaart van de rivieren de Oude en Nieuwe Merwede en de killen in het Bergsche Veld : in negen bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En F.F.J. Machen. – 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1857-1858 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 910 bladen, in kleur : lithografie; diverse formaten.";"03";"Geertruidenberg";;;"1858";1858,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;"Scheur MO";"Nugter";"Ja"
61;"EERSTE DRUK";"6";"Kaart van de rivier de Hollandsche Ijssel van Gouda tot IJsselmonde : in drie bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En J. Leijds. - [Delft : Algemeene Dienst van den Waterstaat, 1859-1860] (Delft : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 kaartserie in 3 bladen, in kleur : lithografie ; diverse formaten.";"03";"Ouderkerk";;;;1860,00;;;;;"Schaal 1:10.000";;;;;;;;;;
62;"EERSTE HERZIENING";"6";"Oude Maas, Amer, Hollandsch Diep en Haringvliet / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1884-1886]. – 1 serie in 13 bladen : lithografie ; diverse formaten.";"03";"Geertruidenberg";;;;1885,00;;;;;"Schaal 1:10.000";;;;;;;;;;
63;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"03";"Moordrecht";;;;1904,00;;;;;"Schaal 1:2.500";;;;;;;;;;
64;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"03";"Kortenoord";"Karteering Rijkswaterstaat Algemeene Dienst";;"1931-1932";1933,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"Foto-Litho, in kleur";;;"Ja"
65;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"03";"Kortenoord ";;"Vierde uitgave";;1952,00;;;;;"Schaal 1:5.000";;;;;;;;;;
66;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"03";"Itteren";;;;1894,00;"Topographische inrichting 1894. Gegr. door Fred. Kierdorff";;;;"Schaal 1:10.000";;;;;;;;;;
67;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"04";"Herveld";;;"1830";1830,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";;;;;;;"Op linnen. -  KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel";;"Nugter";"Ja"
68;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"04";"Herveld";;;;1873,00;;;;;"Schaal 1:10.000";;;;;;;;;;
69;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"04";"Nijmegen";;;;1920,00;;;;;"Schaal 1:10.000";;;;;;;;;;
70;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"04";"Westervoort";;;"1833";1833,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
71;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"04";"Westervoort";;;;1877,00;;;;;"Schaal 1:10.000";;;;;;;;;;
72;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"04";"Arnhem";;;"1912-1913";1916,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;;;;"Ja"
73;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"04";"Brummen";;;;1888,00;;;;;"Schaal 1:10.000";;;;;;;;;;
74;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"04";"Kraggenburg";;;;1906,00;;;;;"Schaal 1:10.000";;;;;;;;;;
75;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"04";"Stein ";;"Derde uitgave";;1940,00;;;;;"Schaal 1:10.000";;;;;;;;;;
76;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"04";"Steenderen";;;"1840, 1843";1843,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
77;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"04";"Steijn";;;"1847";1847,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
78;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"04";"Brummen (Oost)";;;;1927,00;;;;;"Schaal 1:10.000";;;;;;;;;;
79;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"04";"Brummen (West)";;;;1927,00;;;;;"Schaal 1:10.000";;;;;;;;;;
80;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"04";"Brummen ";;"Vierde uitgave";;1961,00;"Top. Inr.";"Foto-litho";;;"Schaal 1:10 000";;;;;;;;;;
81;"EERSTE DRUK";"5";"Kaart van de rivieren de Oude en Nieuwe Merwede en de killen in het Bergsche Veld : in negen bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En F.F.J. Machen. – 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1857-1858 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 910 bladen, in kleur : lithografie; diverse formaten.";"04";"'sGravendeel";;;"1858";1858,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;"Scheur MO";"Nugter";"Ja"
82;"EERSTE HERZIENING";"6";"Oude Maas, Amer, Hollandsch Diep en Haringvliet / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1884-1886]. – 1 serie in 13 bladen : lithografie ; diverse formaten.";"04";"Drimmelen";;;;1886,00;;;;;"Schaal 1:10.000";;;;;;;;;;
83;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"04";"De Snelle";;;;1905,00;;;;;"Schaal 1:2.500";;;;;;;;;;
84;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"04";"De Snelle";;;;1917,00;;;;;"Schaal 1:2.500";;;;;;;;;;
85;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"04";"Hitland";"Karteering Rijkswaterstaat Algemeene Dienst";;"1931-1932";1933,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"Foto-Litho, in kleur";;;"Ja"
86;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"04";"Hitland ";;"Vierde uitgave";"1952";1952,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;;;"In kleur";;;"Ja"
87;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"04";"Stein";;;;1895,00;;;;;"Schaal 1:10.000";;;;;;;;;;
88;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"05";"Dodewaard";;;"1831";1831,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
89;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"05";"Dodewaard";;;;1873,00;;;;;"Schaal 1:10.000";;;;;;;;;;
90;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"05";"Herveld";;;;1923,00;;;;;"Schaal 1:10.000";;;;;;;;;;
91;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"05";"Arnhem";;;"1838";1838,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
92;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"05";"Arnhem";;;;1881,00;;;;;"Schaal 1:10.000";;;;;;;;;;
93;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"05";"Renkum";;;"1913-1914";1917,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"RB: Bijl … 3 april 1918, n. 603";;;"Ja"
94;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"05";"Zutphen";;;;1889,00;;;;;"Schaal 1:10.000";;;;;;;;;;
